index,original,reframed
235,"Can I use CHAS and Baby Bonus card together in one transaction?
","Using CHAS and Baby Bonus card together in one transaction?
"
236,"Can I use a joint account to apply for Child Development Account?
","Using joint account to apply for CDA?
"
237,"I paid my child’s Medisave-approved private integrated plans in cash. How can I apply for reimbursement from the CDA?
",How can I apply for reimbursement from the CDA if I paid my child’s Medisave-approved private integrated plans in cash already.
238,"What are the types of approved education/healthcare expenses under the respective Approved Institution (AI)s?
",What are the types of education / health care expenses approved under the relevant approved institution (AI)?
239,"Can Approved Institutions (AI) deduct administrative fees from the Child Development Account (CDA)?
","Deduction of administrative fees from the Child Development Account (CDA) by AI?
"
240,"What is the deadline for me to top up the CDA?
","Deadline for me to top up the CDA?
"
241,"Why am I not able to use my Baby Bonus card when I still have remaining balance in the Child Development Account (CDA)?
",Not able to use my Baby Bonus card when  balance is left  in the CDA?
242,"What is a Child Development Credit or CDA top-up?
","What is a Child Dev Credit or CDA top-up?
"
243,What are the Baby Bonus Benefits for my first or second child born in 1 January 2015 to 23 March 2016,Baby Bonus Benefits for my first or second child born between 1 January 2015 to 23 March 2016
244,What are the Baby Bonus Benefits for my third or fourth child born in 1 January 2015 to 23 March 2016,What are the Baby Bonus Benefits for my third or fourth child born in 1 January 2015 to 23 March 2016
245,What are the Baby Bonus Benefits for my fifth or beyond child born in 1 January 2015 to 23 March 2016,What are the Baby Bonus Benefits for my fifth or beyond child born in 1 January 2015 to 23 March 2016
246,What are the Baby Bonus Benefits for my first or second child born in 26 August 2012 to 31 January 2014,What are the Baby Bonus Benefits for my first or second child born in 26 August 2012 to 31 January 2014
247,What are the Baby Bonus Benefits for my third or fourth child born in 26 August 2012 to 31 January 2014,What are the Baby Bonus Benefits for my third or fourth child born in 26 August 2012 to 31 January 2014
248,What are the Baby Bonus Benefits for my fifth or beyond child born in 26 August 2012 to 31 January 2014,What are the Baby Bonus Benefits for my fifth or beyond child born in 26 August 2012 to 31 January 2014
249,What are the Baby Bonus Benefits for my first or second child born in 17 August 2008 to 25 August 2012,What are the Baby Bonus Benefits for my first or second child born in 17 August 2008 to 25 August 2012
250,What are the Baby Bonus Benefits for my third or fourth child born in 17 August 2008 to 25 August 2012,What are the Baby Bonus Benefits for my third or fourth child born in 17 August 2008 to 25 August 2012
251,What are the Baby Bonus Benefits for my fifth or beyond child born in 17 August 2008 to 25 August 2012,What are the Baby Bonus Benefits for my fifth or beyond child born in 17 August 2008 to 25 August 2012
252,What are the Baby Bonus Benefits for my first child born in 1 January 2006 to 16 August 2008,What are the Baby Bonus Benefits for my first child born in 1 January 2006 to 16 August 2008
253,What are the Baby Bonus Benefits for my second child born in 1 January 2006 to 16 August 2008,What are the Baby Bonus Benefits for my second child born in 1 January 2006 to 16 August 2008
254,What are the Baby Bonus Benefits for my third and fourth child born in 1 January 2006 to 16 August 2008,What are the Baby Bonus Benefits for my third and fourth child born in 1 January 2006 to 16 August 2008
255,My spouse does not agree. I just found out that my child has joined the scheme without my agreement. Can you change the bank account holder or Child Development Account (CDA) trustee to me?,My spouse does not agree. I have just learned that my child has joined the scheme without my consent. Can you change bank account holder or child development account (CDA) trustee for me?
256,My spouse is not contactable. I just found out that my child has joined the scheme without my agreement. Can you change the bank account holder or Child Development Account (CDA) trustee to me?,My spouse is not contactable. I have just learned that my child has joined the scheme without my consent. Can you change bank account holder or child development account (CDA) trustee for me?
257,"My child is unborn, Why is my application unsuccessful?
","My child is unborn, why my application is not successful?"
258,My child is a Singaporean at birth. Why is my application unsuccessful?,Why is my applicationnot successful even though my child is a Singaporean at birth ?
259,My child was not a Singaporean at birth but has obtained Singapore Citizenship. Why is my application unsuccessful?,Why is my application unsuccessful? My child was not a Singaporean at birth but has obtained Singapore Citizenship. 
260,My child is adopted at birth but has obtained Singapore Citizenship. Why is my application unsuccessful?,Why is my application unsuccessful even though my child is adopted at birth but has obtained Singapore Citizenship ?
261,I am the nominated CDA Trustee and I have applied for the Baby Bonus Scheme. How can I open the Child Development Account (CDA) for my child?,How can I open the CDA for my child if I am the nominated CDA Trustee and I have applied for the Baby Bonus Scheme?
262,My spouse is the nominated CDA Trustee and I have applied for the Baby Bonus Scheme. How can I open the Child Development Account (CDA) for my child?,How can I open CDA for my son if my spouse is the nominated CDA Trustee and I applied for the Baby Bonus Scheme already?
263,I am a foreigner and I have applied for the Baby Bonus Scheme. How can I open the Child Development Account (CDA) for my child?,Myself Indian and I have applied for the Baby Bonus Scheme. How can I open the Child Development Account (CDA) for my child?
264,"How can I view my Child Development Account (CDA) transactions?
","View my CDA transactions?
"
265,"What is the Moments of Life (Families) app?
","What is Moments of Life app?
"
266,"When will new features be released on the app and how will I be notified?
","Notifications for the new features released on the app?
"
267,"Who can use the app for online Birth Registration?
","Using the app for online Birth Registration?
"
268,"I have registered the birth of my child on the app. What documents do I need to produce to collect my childâ€™s Birth Certificate?
","What documents are required to produce to collect my child’s Birth Certificate if I have registered the birth of my child on the app already?
"
269,"I registered my childâ€™s birth on the app but missed my appointment to collect my childâ€™s Birth Certificate. Can I make another appointment on the app?
","Missed an appointment to collect my child’s Birth Certificate. Is it possible to make another appointment on the app?
"
270,"Why canâ€™t I make an appointment on the app to collect the Birth Certificate(s) at the hospital?
","Unable to make an appointment on the app to collect the Birth Certificates at the hospital?
"
271,"If I am not the parent of the child, can I collect the childâ€™s Birth Certificate on behalf of the childâ€™s parents?
","Can I collect the Birth Certificate on behalf of the child’s parents?
"
272,"Why does my spouse need to log in with SingPass as well? Can I submit the application on my spouseâ€™s behalf?
","Can I submit the application on my spouse’s behalf?
"
273,"My spouse does not have a SingPass account. What should I do?
","My spouse does not have a SingPass account!
"
274,"My spouse is overseas. Can I key in an overseas mobile number during Birth Registration?
","Can I key in an overseas mobile number during Birth Registration?
"
275,"My spouse is overseas and cannot be contacted via SMS to complete the Birth Registration process. What should I do?
","Spouse is overseas and not be contacted via SMS for Birth Registration process. What to do?
"
276,"I am a Singapore citizen, but I gave birth to my child in a private hospital. Why am I not eligible to register my baby on the app?
","Why am I not eligible to register my baby on the app if I am a Singapore citizen but gave birth to my baby in a private hospital. ?
"
277,"My payment for the Birth Registration was rejected. What should I do?
","What should I do if my payment for the Birth Registration was rejected?
"
278,"I did not register the birth of my child using the app. Now that I have collected my childâ€™s Birth Certificate, can I still use the app to apply for Baby Bonus?
","I not registered the birth of my child using app, I already have collected my child’s Birth Certificate, can I still use the app to apply for the Baby Bonus?
"
279,"I am not married or I am separated/divorced. How can I register for the birth of my child?
","How can a divorcee register for the birth of his child?
"
280,"As a single parent, can I use the app to apply for Baby Bonus?
",Can a single parent use the app to apply for the Baby Bonus?
281,"How can I indicate interest in centres for my child who is not born yet?
","How can I indicate interest in centres for my unborn child?
"
282,I want to add another centre but I have already selected 10 centres. What should I do?,Add another centre but I have selected 10 centres already. What to do?
283,"How can I indicate interest for kindergartens?
","Indicate interest for kindergartens?
"
284,"How will I know if my child has been successful in getting a place in the centre I have indicated interest in?
","Is my child successful in getting a place in the centre I have indicated interest in?
"
285,"How do I know if a centre is a Baby Bonus Approved Institution?
",How do I know if a centre is a Baby Bonus AI?
286,"What are the services available under Child Health on the app?
","Services available under Child Health on the app?
"
287,"I wish to change my childâ€™s immunisation appointment, can I do so via the Moments of Life (Families) app?
","I wish to change my childs immunisation appointment, can it be done via the Moments of Life (Families) app?"
288,"My childâ€™s appointment information is not updated. What should I do?
","What to do if my child’s appointment information is not updated?
"
289,"What platform does the app run on?
","What platform does the app run on?
"
290,"What are the services on the app that require SingPass login?
","Services on the app that require SingPass login?
"
291,"I do not have SingPass account. What should I do?
","What should I do if I do not have SingPass account?
"
292,"I have forgotten my SingPass password. What do I do?
","Forgot my SingPass password. What to do?
"
293,How do I indicate my interest for an infant care/child care centre?,Indicate my interest for an infant care/child care centre?
